station_name,agency,street,borough,postcode,latitude,longitude,no_of_ports,charger_types,public_charger_,fee_for_city_drivers,geometry
"DOT - 140 58th St, Brooklyn",DOT,140 58th St,Brooklyn,11220,40.645338,-74.022864,3,['Level 2 Charger'],No,No,POINT (-74.022864 40.645338)
"DOT - 25 14th Street, Brooklyn",DOT,25 14th Street,Brooklyn,11215,40.67012,-73.996939,2,['Level 3 Fast Charger'],No,No,POINT (-73.996939 40.67012)
"DOT - 3200 Conner St, Bronx",DOT,3200 Conner St,Bronx,10475,40.880471,-73.821784,1,['Level 3 Fast Charger'],No,No,POINT (-73.821784 40.880471)
"DOT - 166 Columbia St, Brooklyn",DOT,166 Columbia St,Brooklyn,11231,40.686448,-74.002026,1,['Level 2 Charger'],No,No,POINT (-74.002026 40.686448)
"DOT - 184 Columbia St, Brooklyn",DOT,184 Columbia St,Brooklyn,11231,40.686039,-74.002221,1,['Level 2 Charger'],No,No,POINT (-74.002221 40.686039)
"DOT - 1 Bay St, Staten Island",DOT,1 Bay St,Staten Island,10306,40.643733,-74.072789,6,['Level 3 Fast Charger'],No,No,POINT (-74.072789 40.643733)
"DOT - 423 Abbott Rd, Queens",DOT,423 Abbott Rd,Queens,11359,40.79419,-73.77855,2,['Level 2 Charger'],No,No,POINT (-73.77855 40.79419)
"DOT - 69-46 Sybilla St, Queens",DOT,69-46 Sybilla St,Queens,11375,40.709174,-73.854849,2,['EV Solar Arc Charger'],No,No,POINT (-73.854849 40.709174)
"DOT - 32-1 Harper St, Queens",DOT,32-1 Harper St,Queens,11368,40.764388,-73.842368,3,"['EV Solar Arc Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.842368 40.764388)
"DOT - 372 Kent Ave, Brooklyn",DOT,372 Kent Ave,Brooklyn,11249,40.711965,-73.968027,3,['Level 2 Charger'],No,No,POINT (-73.968027 40.711965)
"DOT - 352 Kent Avenue, Brooklyn",DOT,352 Kent Avenue,Brooklyn,11249,40.712571,-73.967756,4,['Level 2 Charger'],No,No,POINT (-73.967756 40.712571)
"DOT - 299 South St, Manhattan",DOT,299 South St,Manhattan,10002,40.710508,-73.986196,5,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.986196 40.710508)
"DOT - 10 Richmond Terrace, Staten Island",DOT,10 Richmond Terrace,Staten Island,10301,40.642367,-74.075274,2,['Level 2 Charger'],No,No,POINT (-74.075274 40.642367)
"DOT - 5 Dubois Ave, Staten Island",DOT,5 Dubois Ave,Staten Island,10310,40.631925,-74.129397,2,['Level 2 Charger'],No,No,POINT (-74.129397 40.631925)
"DOT - 1893 Richmond Terrace, Staten Island",DOT,1893 Richmond Terrace,Staten Island,10302,40.637309,-74.128114,3,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.128114 40.637309)
"DOT - 99-2703 Richmond Terrace, Staten Island",DOT,99-2703 Richmond Terrace,Staten Island,10303,40.644935,-74.077204,2,['Level 2 Charger'],No,No,POINT (-74.077204 40.644935)
"DOT - 6626 Metropolitan Ave, Queens",DOT,6626 Metropolitan Ave,Queens,11379,40.712377,-73.892143,10,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.892143 40.712377)
"DOT - 30-30 Thomson Avenue, Queens",DOT,30-30 Thomson Avenue,Queens,11101,40.745042,-73.936191,2,['Level 3 Fast Charger'],No,No,POINT (-73.936191 40.745042)
"DOT - 2071 White Plains Road, Bronx",DOT,2071 White Plains Road,Bronx,10462,40.8526,-73.867773,8,"['DOT Municipal Level 2 Charger', 'DOT Municipal Level 3 Charger']",Yes,$0.39 per kWh,POINT (-73.867773 40.8526)
"DOT - 39 South Street, Manhattan",DOT,39 South Street,Manhattan,10004,40.703167,-74.008028,22,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-74.008028 40.703167)
"DOT - 34 Wave St, Staten Island",DOT,34 Wave St,Staten Island,10304,40.629667,-74.076027,2,['Level 2 Charger'],No,No,POINT (-74.076027 40.629667)
"DOT - 2144 Webster Ave, Bronx",DOT,2144 Webster Ave,Bronx,10457,40.853544,-73.897301,2,['Level 3 Fast Charger'],No,No,POINT (-73.897301 40.853544)
"DOT - 1 South Street, Manhattan",DOT,1 South Street,Manhattan,10004,40.701283,-74.014578,2,['Level 2 Charger'],No,No,POINT (-74.014578 40.701283)
"DOT - 1400 Williamsbridge Road, Bronx",DOT,1400 Williamsbridge Road,Bronx,10461,40.842206,-73.844168,2,['Level 2 Charger'],No,No,POINT (-73.844168 40.842206)
"DOT - 928 E 76Th St, Brooklyn",DOT,928 E 76Th St,Brooklyn,11236,40.633144,-73.91573,1,['EV Solar Arc Charger'],No,No,POINT (-73.91573 40.633144)
"DOT - 6080 Flatlands Ave, Brooklyn",DOT,6080 Flatlands Ave,Brooklyn,11236,40.633452,-73.916446,1,['Level 3 Fast Charger'],No,No,POINT (-73.916446 40.633452)
"DOT - 58-50 57th Rd, Queens",DOT,58-50 57th Rd,Queens,11378,40.722386,-73.910043,1,['Level 2 Charger'],No,No,POINT (-73.910043 40.722386)
"DOT - 57-50 57Th Rd, Queens",DOT,57-50 57Th Rd,Queens,11378,40.722361,-73.912677,2,['Level 2 Charger'],No,No,POINT (-73.912677 40.722361)
"DOT - 88-26 Pitkin Ave, Queens",DOT,88-26 Pitkin Ave,Queens,11417,40.673779,-73.847565,3,['Level 2 Charger'],No,No,POINT (-73.847565 40.673779)
"DOT - 34-2 Queens Blvd, Queens",DOT,34-2 Queens Blvd,Queens,11101,40.744537,-73.930602,4,['Level 2 Charger'],No,No,POINT (-73.930602 40.744537)
"DPR - 13 East Rd, Queens",DPR,13 East Rd,Queens,11368,40.753928,-73.838823,6,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.838823 40.753928)
"DPR - 15 East Rd, Queens",DPR,15 East Rd,Queens,11368,40.754021,-73.838509,12,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.838509 40.754021)
"DPR - 131-40 Fowler Ave, Queens",DPR,131-40 Fowler Ave,Queens,11355,40.751616,-73.834155,6,['Level 2 Charger'],No,No,POINT (-73.834155 40.751616)
"DPR - 850 E 138th St, Bronx",DPR,850 E 138th St,Bronx,10454,40.803141,-73.909049,6,"['Level 2 Charger', 'Level 3 Fast Charger']",No,No,POINT (-73.909049 40.803141)
"DPR - 118- 9 155th St, Queens",DPR,118- 9 155th St,Queens,11434,40.681158,-73.787784,5,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.787784 40.681158)
"DPR - 330 Bay 8th St, Brooklyn",DPR,330 Bay 8th St,Brooklyn,11228,40.605116,-74.017319,2,['Level 2 Charger'],No,No,POINT (-74.017319 40.605116)
"DPR - 48 West Drive, Brooklyn",DPR,48 West Drive,Brooklyn,11215,40.664987,-73.973384,4,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.973384 40.664987)
"DPR - 46 West Dr, Brooklyn",DPR,46 West Dr,Brooklyn,11215,40.665253,-73.973164,2,['Level 2 Charger'],No,No,POINT (-73.973164 40.665253)
"DPR - 50 West Dr, Brooklyn",DPR,50 West Dr,Brooklyn,11215,40.664701,-73.973557,12,['Level 2 Charger'],No,No,POINT (-73.973557 40.664701)
"DPR - 195 Cadman Plaza West, Brooklyn",DPR,195 Cadman Plaza West,Brooklyn,11201,40.69883,-73.991377,4,['Level 2 Charger'],No,No,POINT (-73.991377 40.69883)
"DPR - 1490 Sheridan Blvd., Bronx",DPR,1490 Sheridan Blvd.,Bronx,10459,40.833338,-73.883614,3,"['EV Solar Arc Charger', 'Level 2 Charger']",No,No,POINT (-73.883614 40.833338)
"DPR - 313 Broome St, Manhattan",DPR,313 Broome St,Manhattan,10002,40.718875,-73.992735,2,['Level 2 Charger'],No,No,POINT (-73.992735 40.718875)
"DPR - 1521-1529 E 102Nd St, Brooklyn",DPR,1521-1529 E 102Nd St,Brooklyn,11236,40.635668,-73.885339,1,['EV Solar Arc Charger'],No,No,POINT (-73.885339 40.635668)
"DPR - 1501 E 102nd St, Brooklyn",DPR,1501 E 102nd St,Brooklyn,11236,40.636143,-73.885842,2,['EV Solar Arc Charger'],No,No,POINT (-73.885842 40.636143)
"DPR - 58 Dwight St, Brooklyn",DPR,58 Dwight St,Brooklyn,11231,40.67671,-74.008238,2,['Level 2 Charger'],No,No,POINT (-74.008238 40.67671)
"DPR - Central Park Gothic BridgeWest Dr, Manhattan",DPR,Central Park Gothic BridgeWest Dr,Manhattan,10128,40.78237,-73.965238,2,['Level 2 Charger'],No,No,POINT (-73.965238 40.78237)
"DPR - 1700 Fulton Ave, Bronx",DPR,1700 Fulton Ave,Bronx,10457,40.841369,-73.897872,2,['Level 2 Charger'],No,No,POINT (-73.897872 40.841369)
