,agency,station_name,charger_types,no_of_ports,street,city,postcode,borough,public_charger_,fee_for_city_drivers,latitude,longitude,community_district,council_district,census_tract,bin,bbl,nta,station_id,geometry
51,DEP,"DEP - 350 Flushing Ave, Brooklyn",['Level 3 Fast Charger'],2,350 Flushing Ave,Brooklyn,11205,Brooklyn,No,No,40.69834,-73.960921,303.0,33.0,1237.0,3054189.0,3018820001.0,BK0301,urn:agentwin:city:ev-charging-station:89b5b49012bf1f49d153dcb65396bf622dbabf03d19e5ac1b2b9e999cb7a4eb0,POINT (-73.960921 40.69834)
52,DEP,"DEP - 127-01 Powell Cove Blvd, Queens",['Level 3 Fast Charger'],2,127-01 Powell Cove Blvd,Queens,11356,Queens,No,No,40.793864,-73.840525,407.0,19.0,939.0,4453834.0,4039250001.0,QN0701,urn:agentwin:city:ev-charging-station:29c856c6067d0e2cd832c2e8d8078ec561ca8f8e6c1ef660c792a70955aa6384,POINT (-73.840525 40.793864)
53,DEP,"DEP - 725 W 135Th St, Manhattan","['Level 2 Charger', 'Level 3 Fast Charger']",12,725 W 135Th St,New York,10031,Manhattan,No,No,40.821384,-73.9581,109.0,7.0,22301.0,1084789.0,1021010117.0,MN0902,urn:agentwin:city:ev-charging-station:0e17133edb70339fbc6bea2611fb6a44169bc39ab162668679e3ea350cc6290f,POINT (-73.9581 40.821384)
54,DEP,"DEP - 148 6 Dr, Manhattan",['Level 2 Charger'],1,148 6 Dr,New York,10035,Manhattan,No,No,40.788869,-73.920097,111.0,8.0,240.0,1088060.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:4ce97a44e5c1e84f74fb27bd658d7039347c557206b470697ee8eb878c929b1b,POINT (-73.920097 40.788869)
55,DEP,"DEP - 104 B Rd, Manhattan","['Level 2 Charger', 'Level 3 Fast Charger']",4,104 B Rd,New York,10035,Manhattan,No,No,40.787146,-73.925083,111.0,8.0,240.0,1088039.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:857ef8fd4c273b4bb91b53dff2e3e5d790971b99dfcae0164c3fdcfad866f17f,POINT (-73.925083 40.787146)
56,DEP,"DEP - 142 A Rd, Manhattan","['Level 2 Charger', 'Level 3 Fast Charger']",5,142 A Rd,New York,10035,Manhattan,No,No,40.785113,-73.923366,111.0,8.0,240.0,1088037.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:1cba65cf6e9a9f2954123cb406da47c03a3aac127a6f3f67e8966eb00bb2d5de,POINT (-73.923366 40.785113)
57,DEP,"DEP - 149 8 Dr, Manhattan",['Level 3 Fast Charger'],2,149 8 Dr,New York,10035,Manhattan,No,No,40.788166,-73.919762,111.0,8.0,240.0,1088059.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:6f654f0a250387b7fe04a9e2624aa513f10f1d5ceb16d6d73f9694df0941e2b8,POINT (-73.919762 40.788166)
58,DEP,"DEP - 106 2Nd Dr, Manhattan",['Level 2 Charger'],1,106 2Nd Dr,New York,10035,Manhattan,No,No,40.788715,-73.924539,111.0,8.0,240.0,1088029.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:71aca0b1e54987de236e2649925fedbf1509e18a43825720e1e3a0c73259c694,POINT (-73.924539 40.788715)
59,DEP,"DEP - 111 3Rd Dr, Manhattan",['EV Solar Arc Charger'],1,111 3Rd Dr,New York,10035,Manhattan,No,No,40.787573,-73.924403,111.0,8.0,240.0,1088032.0,1018190015.0,MN1191,urn:agentwin:city:ev-charging-station:6c92c953f3644750b40288033a304e5abd06c743818f6444c5629a64c852b1ac,POINT (-73.924403 40.787573)
60,DEP,"DEP - 116 4Th Dr, Manhattan",['Level 2 Charger'],2,116 4Th Dr,New York,10035,Manhattan,No,No,40.791082,-73.921051,111.0,8.0,240.0,1088022.0,1018190030.0,MN1191,urn:agentwin:city:ev-charging-station:1d7e30a4c82b2773e6f20824136640b6b29d7b6e33e9f8345873d717a1a05c60,POINT (-73.921051 40.791082)
61,DEP,"DEP - 3327-3549 Jerome Ave, Bronx",['Level 2 Charger'],2,3327-3549 Jerome Ave,West Bronx,10468,Bronx,No,No,40.879456,-73.885016,207.0,11.0,421.0,,,BX0703,urn:agentwin:city:ev-charging-station:3fec5eb4f3c46ce7252ac2ec670f861e68e275e459c807895a750ebc513fb290,POINT (-73.885016 40.879456)
62,DEP,"DEP - 1260 Ryawa Ave, Bronx",['Level 2 Charger'],2,1260 Ryawa Ave,Bronx,10474,Bronx,No,No,40.804742,-73.885322,202.0,17.0,9302.0,2118134.0,2027800002.0,BX0201,urn:agentwin:city:ev-charging-station:4779d60f794d937dbbef76b50156019a257fa508ff59e3b28b29a41b010fa962,POINT (-73.885322 40.804742)
63,DEP,"DEP - 1887 Ralph Ave, Brooklyn",['Level 2 Charger'],2,1887 Ralph Ave,Brooklyn,11234,Brooklyn,No,No,40.631239,-73.918502,318.0,46.0,69601.0,3398349.0,3083380001.0,BK1802,urn:agentwin:city:ev-charging-station:1af6dc3a707306e15b77c9f7985a4d810e3ae99adedd06bfc0d396e9cffc0962,POINT (-73.918502 40.631239)
64,DEP,"DEP - 289-369 Greenpoint Ave, Brooklyn",['Level 2 Charger'],1,289-369 Greenpoint Ave,Brooklyn,11222,Brooklyn,No,No,40.730973,-73.947675,301.0,33.0,57902.0,,,BK0101,urn:agentwin:city:ev-charging-station:f97156284cfe6fff9ff08f81cca1a634efbd4beab982470167244e9c1a21e04b,POINT (-73.947675 40.730973)
65,DEP,"DEP - 2509 Knapp St, Brooklyn",['Level 3 Fast Charger'],1,2509 Knapp St,Sheepshead Bay,11235,Brooklyn,No,No,40.592085,-73.932521,315.0,46.0,628.0,3404766.0,3088340175.0,BK1503,urn:agentwin:city:ev-charging-station:8eb7a535c7b3f30c6d495c89606895a8835cb84116785b45f57d69e6105f9fac,POINT (-73.932521 40.592085)
