,id,name,power,operator,substation,voltage,frequency,geometry,substation_id,location_id,coordinate_system_id,position_point_id
127,383585972,Avenue N Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.93035985 40.61849815),urn:agentwin:energy:substation:osm:383585972,urn:agentwin:energy:location:osm:383585972,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585972
128,383585973,Cambria Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.74675339257082 40.6965337),urn:agentwin:energy:substation:osm:383585973,urn:agentwin:energy:location:osm:383585973,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585973
129,383585974,Clifton Substation,substation,Consolidated Edison,distribution,33000;4000,60,POINT (-74.07144475 40.61970375),urn:agentwin:energy:substation:osm:383585974,urn:agentwin:energy:location:osm:383585974,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585974
130,383585976,East 179th Street Substation,substation,Consolidated Edison,distribution,138000;13200,60,POINT (-73.89417416159105 40.84961845),urn:agentwin:energy:substation:osm:383585976,urn:agentwin:energy:location:osm:383585976,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585976
131,383585977,East 83rd Street Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.9023814484813 40.62886795),urn:agentwin:energy:substation:osm:383585977,urn:agentwin:energy:location:osm:383585977,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585977
132,383585978,Lefferts Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.81909947626522 40.67660445),urn:agentwin:energy:substation:osm:383585978,urn:agentwin:energy:location:osm:383585978,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585978
133,383585979,Livonia Avenue Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.88909827210557 40.66573085),urn:agentwin:energy:substation:osm:383585979,urn:agentwin:energy:location:osm:383585979,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585979
134,383585980,Mill Avenue Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.91334025 40.6145372),urn:agentwin:energy:substation:osm:383585980,urn:agentwin:energy:location:osm:383585980,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585980
135,383585981,Oakland Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.76204683170803 40.74788255),urn:agentwin:energy:substation:osm:383585981,urn:agentwin:energy:location:osm:383585981,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585981
137,383585983,Parkway Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.7275565470547 40.7403152),urn:agentwin:energy:substation:osm:383585983,urn:agentwin:energy:location:osm:383585983,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585983
138,383585984,Rockaway Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.80543796044952 40.6753285),urn:agentwin:energy:substation:osm:383585984,urn:agentwin:energy:location:osm:383585984,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585984
139,383585985,Rosedale Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.7367947 40.66798715),urn:agentwin:energy:substation:osm:383585985,urn:agentwin:energy:location:osm:383585985,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585985
140,383585986,Springfield Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.76087766681586 40.6790047),urn:agentwin:energy:substation:osm:383585986,urn:agentwin:energy:location:osm:383585986,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585986
141,383585991,Sutphin Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.79546988550817 40.68902315),urn:agentwin:energy:substation:osm:383585991,urn:agentwin:energy:location:osm:383585991,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585991
142,383585995,Union Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.75846358631112 40.73351835),urn:agentwin:energy:substation:osm:383585995,urn:agentwin:energy:location:osm:383585995,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585995
143,383585996,Whitestone Substation,substation,Consolidated Edison,distribution,27000;4000,60,POINT (-73.81211586483778 40.788724),urn:agentwin:energy:substation:osm:383585996,urn:agentwin:energy:location:osm:383585996,urn:agentwin:energy:coordinate-system:osm:2263,urn:agentwin:energy:position-point:osm:383585996
